"","sci_name","taxonid","kingdom","phylum","class","order","family","genus","main_common_name","authority","disp_dist_m"
"308","Plantago major",168960,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","LAMIALES","PLANTAGINACEAE","Plantago","Broadleaf Plantain","L.",1000
"309","Platymiscium pinnatum",62027362,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Platymiscium",NA,"(Jacq.) Dugand",1000
"310","Platypodium elegans",19892593,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Platypodium",NA,"Vogel",1000
"311","Pleuropetalum pleiogynum",152000460,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","AMARANTHACEAE","Pleuropetalum",NA,"(Kuntze) Standl.",1000
"312","Plumeria pudica",151953739,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Plumeria",NA,"Jacq.",300
"313","Plumeria rubra",144270910,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","APOCYNACEAE","Plumeria",NA,"L.",300
"314","Poeppigia procera",176093766,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Poeppigia",NA,"(Poepp. ex Spreng.) C.Presl",1000
"315","Pogonopus exsertus",150009232,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Pogonopus",NA,"(Oerst.) Oerst.",1000
"316","Portulaca oleracea",164001,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","CARYOPHYLLALES","PORTULACACEAE","Portulaca","Common Purslane","L.",1000
"317","Posoqueria coriacea",145666706,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Posoqueria",NA,"M.Martens &amp; Galeotti",1000
"318","Posoqueria latifolia",136791302,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Posoqueria",NA,"(Rudge) Schult.",1000
"319","Pourouma bicolor",146766080,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Pourouma",NA,"Mart.",1000
"320","Pourouma cecropiifolia",145590526,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Pourouma",NA,"Mart.",1000
"321","Pouzolzia obliqua",146766083,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Pouzolzia",NA,"(Wedd.) Wedd.",1000
"322","Pouzolzia occidentalis",217257673,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","ROSALES","URTICACEAE","Pouzolzia",NA,"(Liebm.) Wedd.",1000
"323","Prioria copaifera",62027602,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Prioria",NA,"Griseb.",1000
"324","Prosopis juliflora",49485886,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","FABALES","FABACEAE","Prosopis",NA,"(Sw.) DC.",1000
"325","Pseudobombax septenatum",176099194,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","MALVALES","MALVACEAE","Pseudobombax",NA,"(Jacq.) Dugand",1000
"326","Psychotria carthagenensis",180261733,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Psychotria",NA,"Jacq.",1000
"327","Psychotria grandis",150118750,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Psychotria",NA,"Sw.",1000
"328","Psychotria micrantha",151962845,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Psychotria",NA,"Kunth",1000
"329","Psychotria nervosa",152910002,"PLANTAE","TRACHEOPHYTA","MAGNOLIOPSIDA","GENTIANALES","RUBIACEAE","Psychotria",NA,"Sw.",1000
