"sp","cor"
"Molossus.coibensis",0.992650350885343
"Molossus.molossus",0.992026374846308
"Molossus.rufus",0.918554135074082
"Mormoops.megalophylla",0.974868680885658
"Mus.musculus",0.979250824109637
"Mustela.felipei",0.999980294105304
"Mustela.frenata",0.994773053946114
"Myoprocta.acouchi",0.999981598293444
"Myoprocta.pratti",0.999979780344557
"Myotis.albescens",0.994110972980612
"Myotis.keaysi",0.993673144659203
"Myotis.nigricans",0.988914079063277
"Myotis.oxyotus",0.989609678883939
"Myotis.riparius",0.994257359431162
"Myrmecophaga.tridactyla",0.993132747496406
"Nasua.narica",0.965661552577738
"Nasua.nasua",0.996997873555173
"Nasuella.olivacea",0.994241791884448
"Natalus.tumidirostris",0.984902436766144
"Neacomys.spinosus",0.999920199609524
"Neogale.felipei",0.999943181339585
"Neogale.frenata",0.996685549377622
"Nephelomys.childi",0.994933316391408
"Noctilio.albiventris",0.996129475526956
"Noctilio.leporinus",0.991024660780738
"Odocoileus.cariacou",0.995020973687211
"Odocoileus.goudotii",0.986858398410287
"Odocoileus.virginianus",0.994155909433627
"Oecomys.bicolor",0.996079558696396
"Oecomys.trinitatis",0.980798154708224
"Olallamys.albicauda",0.99438049075883
"Olallamys.albicaudus",0.999992890349314
"Oligoryzomys.destructor",0.999906470904872
"Oligoryzomys.fulvescens",0.978836629909258
"Ozotoceros.bezoarticus",0.999999999999582
"Panthera.onca",0.983699179524086
"Pecari.tajacu",0.989516067998861
"Peropteryx.macrotis",0.992032751260462
"Philander.andersoni",0.999995159921994
"Philander.melanurus",0.987788248025872
"Philander.opossum",0.99244601258877
"Phylloderma.stenops",0.993740342336435
"Phyllostomus.discolor",0.994586059895576
"Phyllostomus.elongatus",0.988315257514613
"Phyllostomus.hastatus",0.990024511132663
"Pithecia.hirsuta",0.999815393836593
"Pithecia.milleri",0.999999989663991
"Pithecia.monachus",0.999999880772588
"Platyrrhinus.brachycephalus",0.483163235957132
"Platyrrhinus.dorsalis",0.996380916805876
"Platyrrhinus.helleri",0.990610139370527
"Platyrrhinus.infuscus",0.995284336866485
"Platyrrhinus.lineatus",0.99997738204513
"Platyrrhinus.umbratus",0.601864539222177
"Platyrrhinus.vittatus",0.988355503012692
"Plecturocebus.caquetensis",0.986317936114516
"Plecturocebus.ornatus",0.999898461511143
"Potos.flavus",0.994611393062818
"Priodontes.maximus",0.999994372555059
"Procyon.cancrivorus",0.995103152761242
"Procyon.lotor",0.979455897092894
"Proechimys.brevicauda",0.999864904834215
"Proechimys.chrysaeolus",0.998194468637051
