"sp","ssp","habitat","big_habitat","connect","time_periods"
"Artibeus.planirostris","ssp126",1,1,1,"2061-2080"
"Artibeus.planirostris","ssp126",1,1,1,"2081-2100"
"Ateles.belzebuth","ssp126",1,1,1,"1970-2000"
"Ateles.belzebuth","ssp126",1,1,1,"2021-2040"
"Ateles.belzebuth","ssp126",1,1,1,"2041-2060"
"Ateles.belzebuth","ssp126",1,1,1,"2061-2080"
"Ateles.belzebuth","ssp126",1,1,1,"2081-2100"
"Ateles.fusciceps","ssp126",1,1,1,"1970-2000"
"Ateles.fusciceps","ssp126",1,1,1,"2021-2040"
"Ateles.fusciceps","ssp126",1,1,1,"2041-2060"
"Ateles.fusciceps","ssp126",1,1,1,"2061-2080"
"Ateles.fusciceps","ssp126",1,1,1,"2081-2100"
"Ateles.geoffroyi","ssp126",1,1,1,"1970-2000"
"Ateles.geoffroyi","ssp126",1,1,1,"2021-2040"
"Ateles.geoffroyi","ssp126",1,1,1,"2041-2060"
"Ateles.geoffroyi","ssp126",1,1,1,"2061-2080"
"Ateles.geoffroyi","ssp126",1,1,1,"2081-2100"
"Ateles.hybridus","ssp126",1,1,1,"1970-2000"
"Ateles.hybridus","ssp126",1,1,1,"2021-2040"
"Ateles.hybridus","ssp126",1,1,1,"2041-2060"
"Ateles.hybridus","ssp126",1,1,1,"2061-2080"
"Ateles.hybridus","ssp126",1,1,1,"2081-2100"
"Atelocynus.microtis","ssp126",1,1,1,"1970-2000"
"Atelocynus.microtis","ssp126",1,1,1,"2021-2040"
"Atelocynus.microtis","ssp126",1,1,1,"2041-2060"
"Atelocynus.microtis","ssp126",1,1,1,"2061-2080"
"Atelocynus.microtis","ssp126",1,1,1,"2081-2100"
"Bassaricyon.alleni","ssp126",1,1,1,"1970-2000"
"Bassaricyon.alleni","ssp126",1,1,1,"2021-2040"
"Bassaricyon.alleni","ssp126",1,1,1,"2041-2060"
"Bassaricyon.alleni","ssp126",1,1,1,"2061-2080"
"Bassaricyon.alleni","ssp126",1,1,1,"2081-2100"
"Bassaricyon.gabbii","ssp126",1,1,1,"1970-2000"
"Bassaricyon.gabbii","ssp126",1,1,1,"2021-2040"
"Bassaricyon.gabbii","ssp126",1,1,1,"2041-2060"
"Bassaricyon.gabbii","ssp126",1,1,1,"2061-2080"
"Bassaricyon.gabbii","ssp126",1,1,1,"2081-2100"
"Bassaricyon.medius","ssp126",1,1,1,"1970-2000"
"Bassaricyon.medius","ssp126",1,1,1,"2021-2040"
"Bassaricyon.medius","ssp126",1,1,1,"2041-2060"
"Bassaricyon.medius","ssp126",1,1,1,"2061-2080"
"Bassaricyon.medius","ssp126",1,1,1,"2081-2100"
"Bassaricyon.neblina","ssp126",1,1,1,"1970-2000"
"Bassaricyon.neblina","ssp126",1,1,1,"2021-2040"
"Bassaricyon.neblina","ssp126",1,1,1,"2041-2060"
"Bassaricyon.neblina","ssp126",1,1,1,"2061-2080"
"Bassaricyon.neblina","ssp126",1,1,1,"2081-2100"
"Bradypus.variegatus","ssp126",1,1,1,"1970-2000"
"Bradypus.variegatus","ssp126",1,1,1,"2021-2040"
"Bradypus.variegatus","ssp126",1,1,1,"2041-2060"
"Bradypus.variegatus","ssp126",1,1,1,"2061-2080"
"Bradypus.variegatus","ssp126",1,1,1,"2081-2100"
"Cabassous.centralis","ssp126",1,1,1,"1970-2000"
"Cabassous.centralis","ssp126",1,1,1,"2021-2040"
"Cabassous.centralis","ssp126",1,1,1,"2041-2060"
"Cabassous.centralis","ssp126",1,1,1,"2061-2080"
"Cabassous.centralis","ssp126",1,1,1,"2081-2100"
"Cabassous.unicinctus","ssp126",1,1,1,"1970-2000"
"Cabassous.unicinctus","ssp126",1,1,1,"2021-2040"
"Cabassous.unicinctus","ssp126",1,1,1,"2041-2060"
"Cabassous.unicinctus","ssp126",1,1,1,"2061-2080"
"Cabassous.unicinctus","ssp126",1,1,1,"2081-2100"
"Cacajao.melanocephalus","ssp126",1,1,1,"1970-2000"
